gateway_txn_id,erp_ref_id,settlement_date,payment_mode,gross_amount_inr,gateway_fee_inr,gst_on_fee_inr,net_settled_inr,settlement_utr,status
pay_IBR4OQMWM2QMAZ,ERP-2026-0001,2026-07-25,WALLET,60251.76,1205.04,216.91,58829.81,920007465735,SETTLED
pay_MBNJ1L4YYA10VU,ERP-2026-0002,2026-08-22,NEFT,144105.41,2882.11,518.78,140704.52,918234478581,SETTLED
pay_1DJLNW5E5Q1G1J,ERP-2026-0003,2026-07-06,NEFT,120548.19,2410.96,433.97,117703.26,160701059067,SETTLED
pay_EZ0Y52TC0E0BP3,ERP-2026-0004,2026-08-03,NEFT,18104.5,362.09,65.18,17677.23,279969441794,SETTLED
pay_7JS1R9C1JSKQ6E,ERP-2026-0005,2026-07-31,IMPS,2928.41,58.57,10.54,2859.3,282276004745,SETTLED
pay_RLWZKO9XKDKK8X,ERP-2026-0006,2026-08-19,NEFT,37386.83,747.74,134.59,36504.5,973859595657,SETTLED
pay_GWH8QCIDIA73HK,ERP-2026-0007,2026-08-11,IMPS,88769.31,1775.39,319.57,86674.35,879273243164,SETTLED
pay_QLMXRLY2UN4TEZ,ERP-2026-0008,2026-08-05,NB,124867.97,2497.36,449.52,121921.09,436035709346,SETTLED
pay_SVE8R1HDJVQGLH,ERP-2026-0009,2026-07-21,UPI,134089.12,2681.78,482.72,130924.62,710859860313,SETTLED
pay_B4ZCYSGYXQ3EJ1,ERP-2026-0010,2026-07-09,NB,56230.87,1124.62,202.43,54903.82,941497860305,SETTLED
pay_GRFOB3Y9OEA4LB,ERP-2026-0011,2026-07-15,NEFT,14585.95,291.72,52.51,14241.72,681590714716,SETTLED
pay_YUCQJU6LYIC0G2,ERP-2026-0012,2026-07-26,WALLET,124532.31,2490.65,448.32,121593.34,275097638054,SETTLED
pay_8O1Y8G3F3CECW5,ERP-2026-0013,2026-08-09,UPI,8581.52,171.63,30.89,8379.0,327335614640,SETTLED
pay_R3A6EHBE7BXGWL,ERP-2026-0016,2026-08-19,WALLET,116896.0,2337.92,420.83,114137.25,223659117343,SETTLED
pay_W9TICRFTA78NK9,ERP-2026-0017,2026-07-17,UPI,6332.67,126.65,22.8,6183.22,314671109930,SETTLED
pay_4LXMPK20ANMO9H,ERP-2026-0018,2026-07-09,CARD,118255.08,2365.1,425.72,115464.26,838072512300,SETTLED
pay_4C40IZKURD71KN,ERP-2026-0019,2026-07-13,UPI,120166.04,2403.32,432.6,117330.12,677391947736,SETTLED
pay_HZ7YZUGAQD8L30,ERP-2026-0020,2026-08-11,NB,18015.12,360.3,64.85,17589.97,356018352347,SETTLED
pay_GJBLK60KV1DJEX,ERP-2026-0021,2026-07-08,CARD,9069.71,181.39,32.65,8855.67,551119212108,SETTLED
pay_PYFZ7FRA8Q8DDK,ERP-2026-0022,2026-08-04,NEFT,134875.99,2697.52,485.55,131692.92,987070112156,SETTLED
pay_LRDZJZS6KCECCN,ERP-2026-0023,2026-08-20,WALLET,72017.34,1440.35,259.26,70317.73,904903100381,SETTLED
pay_ENF9FSTUDFI2Z8,ERP-2026-0024,2026-08-05,NB,62936.89,1258.74,226.57,61451.58,709096216520,SETTLED
pay_F8C2LTQ8CLLGXF,ERP-2026-0026,2026-08-01,UPI,40073.96,801.48,144.27,39128.21,656201172112,SETTLED
pay_PZEI08HVZNM48Y,ERP-2026-0027,2026-07-16,NEFT,63716.7,1274.33,229.38,62212.99,549918442597,SETTLED
pay_ME5LDYNKEUO6A5,ERP-2026-0028,2026-08-25,NB,20819.12,416.38,74.95,20327.79,480341549285,SETTLED
pay_GYLLJGYDSD8SHH,ERP-2026-0029,2026-07-15,NB,16394.55,327.89,59.02,16007.64,788258269278,SETTLED
pay_ZPJRJ3WFX2A12H,ERP-2026-0030,2026-08-19,CARD,4230.52,84.61,15.23,4130.68,887148169516,SETTLED
pay_6064ROA4EZL8YC,ERP-2026-0031,2026-07-06,NEFT,129380.37,2587.61,465.77,126326.99,156695343900,SETTLED
pay_44OBNO5GXE6TUU,ERP-2026-0032,2026-08-03,UPI,127649.24,2552.98,459.54,124636.72,364781312471,SETTLED
pay_0P7F893IS276VC,ERP-2026-0033,2026-07-24,IMPS,61604.72,1232.09,221.78,60150.85,935476696005,SETTLED
pay_JOKRO13GXCQLIX,ERP-2026-0034,2026-07-27,NEFT,129234.52,2584.69,465.24,126184.59,885537385352,SETTLED
pay_2EFRHBBSQUY6OR,ERP-2026-0035,2026-07-22,CARD,83771.94,1675.44,301.58,81794.92,650562409125,SETTLED
pay_LW00CI6SUN8ZUV,ERP-2026-0036,2026-08-16,IMPS,101272.61,2025.45,364.58,98882.58,658506284707,SETTLED
pay_B539SXR8W94SUR,ERP-2026-0037,2026-08-14,WALLET,146825.65,2936.51,528.57,143360.57,961215477464,SETTLED
pay_2PLUWI4MHW2QD9,ERP-2026-0038,2026-07-09,IMPS,33648.17,672.96,121.13,32854.08,126681354938,SETTLED
pay_9TUVRGLJ4N4KAA,ERP-2026-0039,2026-07-15,IMPS,108046.55,2160.93,388.97,105496.65,123158146447,SETTLED
pay_IWZ34TD6IZZFNJ,ERP-2026-0040,2026-07-17,IMPS,16868.98,337.38,60.73,16470.87,686254973464,SETTLED
pay_HF75MMAZZC0Y5X,ERP-2026-0041,2026-08-14,CARD,123071.84,2461.44,443.06,120167.34,862057728831,SETTLED
pay_TDCUKD4YN3F2YU,ERP-2026-0042,2026-07-23,NEFT,65808.11,1316.16,236.91,64255.04,606614495754,SETTLED
