gateway_txn_id,erp_ref_id,settlement_date,payment_mode,gross_amount_inr,gateway_fee_inr,gst_on_fee_inr,net_settled_inr,settlement_utr,status
pay_8MDD4V30T9NT3W,ERP-2026-0001,2026-08-13,UPI,147790.62,2955.81,532.05,144302.76,498837994177,SETTLED
pay_5NQ4FMYZYCWTIQ,ERP-2026-0002,2026-07-16,UPI,60474.14,1209.48,217.71,59046.95,804054194082,SETTLED
pay_6UZHR5XFF0T0PV,ERP-2026-0003,2026-07-07,CARD,23349.78,467.0,84.06,22798.72,342072931479,SETTLED
pay_VNVQJT7YE511MK,ERP-2026-0004,2026-08-19,NB,136937.86,2705.62,492.98,133739.26,598895488714,SETTLED
pay_NF877VREN93IIU,ERP-2026-0005,2026-08-20,NB,99132.75,1982.65,356.88,96793.22,190532572167,SETTLED
pay_SV871YZOYN6QIC,ERP-2026-0006,2026-07-02,NEFT,94849.89,1897.0,341.46,92611.43,744335435865,SETTLED
pay_64CIYHE7UR23GD,ERP-2026-0007,2026-08-17,CARD,98191.6,1963.83,353.49,95874.28,488398407379,SETTLED
pay_C02DGTFGQ5C34D,ERP-2026-0008,2026-07-16,CARD,25113.25,502.26,90.41,24520.58,281403868608,SETTLED
pay_J2QP89UZFK8UT0,ERP-2026-0009,2026-07-12,NB,12476.66,249.53,44.92,12182.21,151785130539,SETTLED
pay_VYIE6IVWPVS7HZ,ERP-2026-0010,2026-08-13,WALLET,47768.49,955.37,171.97,46641.15,388787957213,SETTLED
pay_AWUDTSEMCIKPTK,ERP-2026-0011,2026-08-25,WALLET,139797.53,2795.95,503.27,136498.31,820726006289,SETTLED
pay_J60FKHMY4SJ6BW,ERP-2026-0012,2026-08-20,IMPS,146979.79,2939.6,529.13,143511.06,404209733660,SETTLED
pay_TPAC56T4UFEL62,ERP-2026-0013,2026-07-19,WALLET,53374.96,1067.5,192.15,52115.31,146646362417,SETTLED
pay_K2IAGL58KXO9T7,ERP-2026-0015,2026-07-04,IMPS,65467.28,1309.35,235.68,63922.25,387635680418,SETTLED
pay_VSNUJZA7TZ0YNC,ERP-2026-0016,2026-07-23,WALLET,100200.49,2004.01,360.72,97835.76,784317998415,SETTLED
pay_ZTGXN0GUO4KH2V,ERP-2026-0017,2026-07-17,WALLET,119163.44,2383.27,428.99,116351.18,612485158138,SETTLED
pay_XKXWD8IL3FB9W1,ERP-2026-0018,2026-07-27,CARD,98580.67,1971.61,354.89,96254.17,557222530916,SETTLED
pay_H2ZQU7EEQTUL1P,ERP-2026-0019,2026-07-30,NB,129293.49,2585.87,465.46,126242.16,893774408754,SETTLED
pay_14J1RIPZIM6CFN,ERP-2026-0020,2026-07-29,CARD,70155.68,1403.11,252.56,68500.01,873750406882,SETTLED
pay_3O18A5UR7KO64T,ERP-2026-0021,2026-07-20,NEFT,4839.21,96.78,17.42,4725.01,700155683410,SETTLED
pay_0479T6VXDP5GJL,ERP-2026-0022,2026-08-20,IMPS,125319.18,2506.38,451.15,122361.65,458435204313,SETTLED
pay_0B8IC8BBI4WIRE,ERP-2026-0023,2026-07-14,IMPS,144578.34,2891.57,520.48,141166.29,340293786713,SETTLED
pay_2FLU7U6N7HV3IZ,ERP-2026-0024,2026-07-26,UPI,99397.44,1987.95,357.83,97051.66,760068866484,SETTLED
pay_XAPRPN6QFGSXW7,ERP-2026-0025,2026-08-09,WALLET,127831.12,2556.62,460.19,124814.31,631608037091,SETTLED
pay_KQ1UYMRLRMJKV5,ERP-2026-0026,2026-07-19,UPI,73542.39,1470.85,264.75,71806.79,110977038883,SETTLED
pay_YXR2DHYLURTP0L,ERP-2026-0027,2026-07-16,IMPS,29291.35,585.83,105.45,28600.07,601234945339,SETTLED
pay_8YG0JV1V93KMKZ,ERP-2026-0028,2026-07-22,NB,95861.51,1917.23,345.1,93599.18,401191380396,SETTLED
pay_DAKRM8J5ECRUYF,ERP-2026-0029,2026-07-11,NEFT,91144.49,1855.72,328.12,88960.65,721959119309,SETTLED
pay_6KVPUC8D1WJCIT,ERP-2026-0030,2026-08-10,WALLET,5379.66,107.59,19.37,5252.7,100672302490,SETTLED
pay_ZQY72WX7PTX63C,ERP-2026-0031,2026-08-25,WALLET,66153.44,1323.07,238.15,64592.22,968296026728,SETTLED
pay_GVWRDMLY4LYK83,ERP-2026-0033,2026-07-19,IMPS,145542.62,2910.85,523.95,142107.82,141017352624,SETTLED
pay_3A5QBSWRPBJEK5,ERP-2026-0034,2026-08-16,NEFT,82850.43,1657.01,298.26,80895.16,235225807501,SETTLED
pay_D96QE3RZSJ49IT,ERP-2026-0035,2026-07-20,UPI,140170.13,2803.4,504.61,136862.12,307805919610,SETTLED
pay_3KKV9RFTMTTQLG,ERP-2026-0036,2026-07-05,CARD,71209.95,1424.2,256.36,69529.39,364988738014,SETTLED
pay_92XF8E8LD4D6AF,ERP-2026-0037,2026-08-22,CARD,93677.28,1873.55,337.24,91466.49,821000167049,SETTLED
pay_444NLZ15BCW790,ERP-2026-0038,2026-08-16,NEFT,7375.65,147.51,26.55,7201.59,933646465420,SETTLED
pay_KNFTU2GC5WI6FQ,ERP-2026-0039,2026-07-22,CARD,24117.36,482.35,86.82,23548.19,603601998005,SETTLED
pay_9K8YQK94DNMKZA,ERP-2026-0040,2026-08-09,UPI,146053.62,2921.07,525.79,142606.76,825119489915,SETTLED
pay_361I2HGJ11YEDW,ERP-2026-0041,2026-07-27,NB,13974.94,279.5,50.31,13645.13,439471735070,SETTLED
pay_0GET8T63J3R30M,ERP-2026-0042,2026-08-16,NEFT,147001.37,2940.03,529.21,143532.13,611595758355,SETTLED
pay_N2ATQYYV37DIA5,ERP-2026-0043,2026-08-24,WALLET,45677.43,913.55,164.44,44599.44,458893511908,SETTLED
pay_F8KRD5EQY08P0F,ERP-2026-0044,2026-07-29,NB,103696.96,2073.94,373.31,101249.71,819041453913,SETTLED
pay_QIN9N6XCJ883DH,ERP-2026-0045,2026-07-17,IMPS,31178.23,623.56,112.24,30442.43,755581630158,SETTLED
pay_HH5LF6A4FEJGXA,ERP-2026-0046,2026-07-03,IMPS,8333.65,166.67,30.0,8136.98,490905848547,SETTLED
pay_S0R2SDS8B25SQ8,ERP-2026-0047,2026-07-30,WALLET,48655.72,973.11,175.16,47507.45,569876368241,SETTLED
pay_EWVZNVKSP2EX5T,ERP-2026-0048,2026-07-29,NEFT,60110.16,1202.2,216.4,58691.56,339940462494,SETTLED
pay_LLJ8YRDDP0NEC8,ERP-2026-0049,2026-08-14,IMPS,8191.19,163.82,29.49,7997.88,463189664618,SETTLED
pay_LDSFR4MUEKIPU1,ERP-2026-0050,2026-08-26,WALLET,4828.5,96.57,17.38,4714.55,776980148875,SETTLED
pay_7MGFXC08DTNQFL,ERP-2026-0051,2026-07-14,NEFT,101258.32,2025.17,364.53,98868.62,951796738503,SETTLED
pay_XRPJ1EPKYRYBOV,ERP-2026-0052,2026-08-20,NEFT,49554.29,991.09,178.4,48384.8,323371315180,SETTLED
pay_0GNZS43C5BA75U,ERP-2026-0053,2026-07-27,UPI,26195.04,523.9,94.3,25576.84,544844364378,SETTLED
pay_37D4IVSOLMLGSE,ERP-2026-0054,2026-08-25,WALLET,35822.19,716.44,128.96,34976.79,312643624935,SETTLED
pay_HV1XG1R11Q7UWW,ERP-2026-0055,2026-08-02,UPI,45771.66,918.59,164.78,44688.29,446291261920,SETTLED
pay_CQBNKX9DVNU80B,ERP-2026-0056,2026-08-03,NB,143679.49,2873.59,517.25,140288.65,992962570107,SETTLED
pay_349DXBZ9SVN7N1,ERP-2026-0057,2026-07-23,UPI,101917.71,2038.35,366.9,99512.46,760045839791,SETTLED
pay_0X65MUFM8ZOV7L,ERP-2026-0058,2026-08-17,WALLET,136910.97,2738.22,492.88,133679.87,805992461852,SETTLED
pay_SAL8M1G9FK2ST0,ERP-2026-0059,2026-08-10,NEFT,24755.96,495.12,89.12,24171.72,140916141812,SETTLED
pay_3FPOYIPK0QTL3Q,ERP-2026-0060,2026-08-01,CARD,75684.55,1513.69,272.46,73898.4,314040182215,SETTLED
pay_32EJX5TD44K1J6,ERP-2026-0061,2026-07-04,IMPS,59769.87,1195.4,215.17,58359.3,200663178163,SETTLED
pay_NCILDZMFB7R31Q,ERP-2026-0062,2026-07-15,IMPS,141063.78,2821.28,507.83,137734.67,106937867936,SETTLED
pay_P1IEIXWC4RTWUZ,ERP-2026-0063,2026-07-19,IMPS,28503.43,570.07,102.61,27830.75,569402438924,SETTLED
pay_SM8T2SA5BNN0MC,ERP-2026-0064,2026-08-20,WALLET,7128.19,142.56,25.66,6959.97,904194512296,SETTLED
pay_3G2QZW3C1QKBHB,ERP-2026-0065,2026-08-02,NB,113116.99,2262.34,407.22,110447.43,443311214228,SETTLED
pay_M25LEN606N9RR7,ERP-2026-0066,2026-07-31,UPI,82048.42,1640.97,295.37,80112.08,394288048932,SETTLED
pay_CXLVPYMB5M9J98,ERP-2026-0067,2026-08-24,NB,24418.02,488.36,87.9,23841.76,834761706971,SETTLED
pay_4YPEIXN8BFQNPC,ERP-2026-0068,2026-08-13,IMPS,144097.75,2881.95,518.75,140697.05,680411980930,SETTLED
pay_RNUJJQ9K6RE4Q6,ERP-2026-0069,2026-07-08,WALLET,43909.16,878.18,158.07,42872.91,989435288623,SETTLED
pay_Z7W2SEHE2ATN2T,ERP-2026-0070,2026-08-18,WALLET,61913.87,1238.28,222.89,60452.7,169089769417,SETTLED
pay_ELCQSE3TV1ES53,ERP-2026-0071,2026-07-24,NEFT,52230.45,1044.61,188.03,50997.81,269728956268,SETTLED
pay_4JWTEKTSG7FXZV,ERP-2026-0072,2026-08-14,UPI,97843.93,1956.88,352.24,95534.81,145370393987,SETTLED
pay_OXRWK8R2YKCCPR,ERP-2026-0073,2026-07-24,WALLET,146318.43,2926.37,526.75,142865.31,474538426922,SETTLED
pay_SDIEQFB85P8637,ERP-2026-0074,2026-08-04,CARD,131921.81,2638.44,474.92,128808.45,446694606719,SETTLED
pay_DOQIVBKV4YKADE,ERP-2026-0075,2026-07-05,IMPS,85757.11,1715.14,308.73,83733.24,899999819493,SETTLED
pay_SF6F7LOW4VSSRU,ERP-2026-0077,2026-08-14,IMPS,87763.47,1755.27,315.95,85692.25,995392845738,SETTLED
pay_VJX8UIBRSZ1N3I,ERP-2026-0078,2026-07-23,CARD,62237.54,1244.75,224.05,60768.74,223267798693,SETTLED
pay_SWQ40ZSU9RN8QT,ERP-2026-0079,2026-07-14,CARD,83933.95,1678.68,302.16,81953.11,488893282253,SETTLED
pay_1ZYRRU7ZKUT6OM,ERP-2026-0080,2026-07-22,UPI,52281.35,1045.63,188.21,51047.51,983788581667,SETTLED
pay_0H3JUJD0IB6IID,ERP-2026-0081,2026-08-20,WALLET,144695.56,2893.91,520.9,141280.75,887397615467,SETTLED
pay_X5RX1KKC1XI04B,ERP-2026-0082,2026-08-25,UPI,28353.59,567.07,102.07,27684.45,292936248351,SETTLED
pay_AUD9K9TR74QGEF,ERP-2026-0083,2026-08-19,UPI,85383.29,1707.67,307.38,83368.24,810640626473,SETTLED
pay_G463SDYGFLIJI1,ERP-2026-0084,2026-08-07,WALLET,98225.66,1964.51,353.61,95907.54,464874801234,SETTLED
pay_CELOS6ZLE6KWHE,ERP-2026-0085,2026-08-07,WALLET,120398.25,2407.97,433.43,117556.85,598874133330,SETTLED
pay_1YV2STN7E36HTF,ERP-2026-0086,2026-07-17,WALLET,73579.78,1471.6,264.89,71843.29,674900639822,SETTLED
pay_3QSQCQ30O30UBM,ERP-2026-0087,2026-07-05,CARD,27407.21,548.14,98.67,26760.4,692979333587,SETTLED
pay_N6Q7NC85E4E9OE,ERP-2026-0088,2026-08-02,IMPS,81894.58,1637.89,294.82,79961.87,349016725058,SETTLED
pay_3IMJ70E3P15AHD,ERP-2026-0089,2026-07-05,WALLET,35533.72,710.67,127.92,34695.13,589770480738,SETTLED
pay_F9I6UU13I59SOJ,ERP-2026-0090,2026-07-06,CARD,100865.71,2017.31,363.12,98485.28,787946958681,SETTLED
pay_LOFN1R4KZ36U8U,ERP-2026-0091,2026-07-25,NEFT,138372.8,2767.46,498.14,135107.2,525777686278,SETTLED
pay_D0GJYV5G10UR5L,ERP-2026-0092,2026-08-20,WALLET,104496.13,2089.92,376.19,102030.02,331994091775,SETTLED
pay_OILKQXLM5Q201L,ERP-2026-0093,2026-08-07,UPI,22315.45,446.31,80.34,21788.8,504599351747,SETTLED
pay_7UPFLN4RXYJ38X,ERP-2026-0094,2026-07-12,NEFT,73503.29,1470.07,264.61,71768.61,604618265615,SETTLED
pay_S4C3BAEWCFHQCW,ERP-2026-0095,2026-07-04,UPI,61995.11,1239.9,223.18,60532.03,778320951396,SETTLED
pay_TKSZP7G7SIWJM2,ERP-2026-0096,2026-07-19,NB,45346.21,906.92,163.25,44276.04,508361278207,SETTLED
pay_X41DNTCAGRP2U4,ERP-2026-0097,2026-07-19,CARD,102822.1,2056.44,370.16,100395.5,349290861585,SETTLED
pay_UB7L8V1ZOCFI4O,ERP-2026-0098,2026-07-12,WALLET,12224.94,244.5,44.01,11936.43,696556035704,SETTLED
pay_BP4M18O1BJ9RM7,ERP-2026-0099,2026-07-20,NB,11489.25,229.78,41.36,11218.11,303718235716,SETTLED
pay_N2FOMD7Q1DDPUS,ERP-2026-0100,2026-07-09,NB,117773.59,2355.47,423.98,114994.14,126213443527,SETTLED
